Record Length,2500,Points,-130.0000101E-3,1.5999999,,Record Length,2500,Points,-130.0000101E-3,839.999973774E-3,,Record Length,2500,Points,-130.0000101E-3,839.999973774E-3,
Sample Interval,199.99999495E-6,s,-129.8000067E-3,1.5799999,,Sample Interval,199.99999495E-6,s,-129.8000067E-3,839.999973774E-3,,Sample Interval,199.99999495E-6,s,-129.8000067E-3,839.999973774E-3,
Trigger Point,650.000067084,Samples,-129.6000034E-3,1.5999999,,Trigger Point,650.000067084,Samples,-129.6000034E-3,819.999992847E-3,,Trigger Point,650.000067084,Samples,-129.6000034E-3,839.999973774E-3,
,,,-129.4000149E-3,1.5799999,,,,,-129.4000149E-3,839.999973774E-3,,,,,-129.4000149E-3,839.999973774E-3,
,,,-129.2000115E-3,1.5999999,,,,,-129.2000115E-3,819.999992847E-3,,,,,-129.2000115E-3,859.999954700E-3,
,,,-129.0000081E-3,1.5799999,,,,,-129.0000081E-3,799.999952316E-3,,,,,-129.0000081E-3,839.999973774E-3,
Source,CH2,,-128.8000047E-3,1.5799999,,Source,CH3,,-128.8000047E-3,819.999992847E-3,,Source,CH4,,-128.8000047E-3,839.999973774E-3,
Vertical Units,Volts,,-128.6000162E-3,1.5999999,,Vertical Units,Volts,,-128.6000162E-3,779.999971390E-3,,Vertical Units,Volts,,-128.6000162E-3,859.999954700E-3,
Vertical Scale,499.999988824E-3,,-128.4000129E-3,1.5799999,,Vertical Scale,499.999988824E-3,,-128.4000129E-3,819.999992847E-3,,Vertical Scale,499.999988824E-3,,-128.4000129E-3,839.999973774E-3,
Vertical Offset,0,,-128.2000095E-3,1.5799999,,Vertical Offset,0,,-128.2000095E-3,799.999952316E-3,,Vertical Offset,0,,-128.2000095E-3,859.999954700E-3,
Horizontal Units,s,,-128.0000061E-3,1.5799999,,Horizontal Units,s,,-128.0000061E-3,859.999954700E-3,,Horizontal Units,s,,-128.0000061E-3,839.999973774E-3,
Horizontal Scale,49.99999874E-3,,-127.8000176E-3,1.5799999,,Horizontal Scale,49.99999874E-3,,-127.8000176E-3,839.999973774E-3,,Horizontal Scale,49.99999874E-3,,-127.8000176E-3,839.999973774E-3,
Pt Fmt,Y,,-127.6000142E-3,1.5799999,,Pt Fmt,Y,,-127.6000142E-3,839.999973774E-3,,Pt Fmt,Y,,-127.6000142E-3,839.999973774E-3,
Yzero,-1.3200000,,-127.4000108E-3,1.5999999,,Yzero,-2.2000000,,-127.4000108E-3,819.999992847E-3,,Yzero,-4.56000000,,-127.4000108E-3,839.999973774E-3,
Probe Atten,1.000000,,-127.2000074E-3,1.5799999,,Probe Atten,1.000000,,-127.2000074E-3,839.999973774E-3,,Probe Atten,1.000000,,-127.2000074E-3,839.999973774E-3,
,,,-127.0000041E-3,1.5999999,,,,,-127.0000041E-3,819.999992847E-3,,,,,-127.0000041E-3,859.999954700E-3,
Note,TDS 2004B - 20:11:27   16/09/2025,,-126.8000156E-3,1.5999999,,Note,TDS 2004B - 20:11:27   16/09/2025,,-126.8000156E-3,819.999992847E-3,,Note,TDS 2004B - 20:11:27   16/09/2025,,-126.8000156E-3,839.999973774E-3,
,,,-126.6000122E-3,1.5999999,,,,,-126.6000122E-3,839.999973774E-3,,,,,-126.6000122E-3,859.999954700E-3,
,,,-126.4000088E-3,1.5999999,,,,,-126.4000088E-3,839.999973774E-3,,,,,-126.4000088E-3,859.999954700E-3,
,,,-126.2000054E-3,1.5799999,,,,,-126.2000054E-3,839.999973774E-3,,,,,-126.2000054E-3,839.999973774E-3,
,,,-126.0000169E-3,1.5999999,,,,,-126.0000169E-3,839.999973774E-3,,,,,-126.0000169E-3,839.999973774E-3,
,,,-125.8000135E-3,1.5799999,,,,,-125.8000135E-3,859.999954700E-3,,,,,-125.8000135E-3,839.999973774E-3,
,,,-125.6000102E-3,1.5799999,,,,,-125.6000102E-3,839.999973774E-3,,,,,-125.6000102E-3,839.999973774E-3,
,,,-125.4000068E-3,1.5999999,,,,,-125.4000068E-3,819.999992847E-3,,,,,-125.4000068E-3,839.999973774E-3,
,,,-125.2000034E-3,1.5799999,,,,,-125.2000034E-3,839.999973774E-3,,,,,-125.2000034E-3,839.999973774E-3,
,,,-125.0000149E-3,1.5999999,,,,,-125.0000149E-3,819.999992847E-3,,,,,-125.0000149E-3,859.999954700E-3,
,,,-124.8000115E-3,1.5999999,,,,,-124.8000115E-3,819.999992847E-3,,,,,-124.8000115E-3,859.999954700E-3,
,,,-124.6000081E-3,1.5999999,,,,,-124.6000081E-3,839.999973774E-3,,,,,-124.6000081E-3,859.999954700E-3,
,,,-124.4000122E-3,1.5799999,,,,,-124.4000122E-3,839.999973774E-3,,,,,-124.4000122E-3,859.999954700E-3,
,,,-124.2000088E-3,1.5799999,,,,,-124.2000088E-3,839.999973774E-3,,,,,-124.2000088E-3,839.999973774E-3,
,,,-124.0000129E-3,1.5999999,,,,,-124.0000129E-3,799.999952316E-3,,,,,-124.0000129E-3,859.999954700E-3,
,,,-123.8000095E-3,1.5799999,,,,,-123.8000095E-3,799.999952316E-3,,,,,-123.8000095E-3,839.999973774E-3,
,,,-123.6000136E-3,1.5999999,,,,,-123.6000136E-3,799.999952316E-3,,,,,-123.6000136E-3,839.999973774E-3,
,,,-123.4000102E-3,1.5799999,,,,,-123.4000102E-3,819.999992847E-3,,,,,-123.4000102E-3,859.999954700E-3,
,,,-123.2000068E-3,1.5999999,,,,,-123.2000068E-3,819.999992847E-3,,,,,-123.2000068E-3,839.999973774E-3,
,,,-123.0000108E-3,1.5799999,,,,,-123.0000108E-3,819.999992847E-3,,,,,-123.0000108E-3,839.999973774E-3,
,,,-122.8000075E-3,1.5799999,,,,,-122.8000075E-3,839.999973774E-3,,,,,-122.8000075E-3,839.999973774E-3,
,,,-122.6000115E-3,1.5799999,,,,,-122.6000115E-3,819.999992847E-3,,,,,-122.6000115E-3,839.999973774E-3,
,,,-122.4000081E-3,1.5799999,,,,,-122.4000081E-3,839.999973774E-3,,,,,-122.4000081E-3,839.999973774E-3,
,,,-122.2000122E-3,1.5799999,,,,,-122.2000122E-3,839.999973774E-3,,,,,-122.2000122E-3,839.999973774E-3,
,,,-122.0000088E-3,1.5799999,,,,,-122.0000088E-3,839.999973774E-3,,,,,-122.0000088E-3,839.999973774E-3,
,,,-121.8000129E-3,1.5799999,,,,,-121.8000129E-3,839.999973774E-3,,,,,-121.8000129E-3,839.999973774E-3,
,,,-121.6000095E-3,1.5799999,,,,,-121.6000095E-3,819.999992847E-3,,,,,-121.6000095E-3,839.999973774E-3,
,,,-121.4000136E-3,1.5799999,,,,,-121.4000136E-3,819.999992847E-3,,,,,-121.4000136E-3,839.999973774E-3,
,,,-121.2000102E-3,1.5999999,,,,,-121.2000102E-3,839.999973774E-3,,,,,-121.2000102E-3,859.999954700E-3,
,,,-121.0000068E-3,1.5999999,,,,,-121.0000068E-3,839.999973774E-3,,,,,-121.0000068E-3,859.999954700E-3,
,,,-120.8000109E-3,1.5999999,,,,,-120.8000109E-3,839.999973774E-3,,,,,-120.8000109E-3,839.999973774E-3,
,,,-120.6000075E-3,1.5799999,,,,,-120.6000075E-3,839.999973774E-3,,,,,-120.6000075E-3,839.999973774E-3,
,,,-120.4000115E-3,1.5999999,,,,,-120.4000115E-3,819.999992847E-3,,,,,-120.4000115E-3,839.999973774E-3,
,,,-120.2000082E-3,1.5999999,,,,,-120.2000082E-3,839.999973774E-3,,,,,-120.2000082E-3,839.999973774E-3,
,,,-120.0000122E-3,1.5799999,,,,,-120.0000122E-3,839.999973774E-3,,,,,-120.0000122E-3,839.999973774E-3,
,,,-119.8000088E-3,1.5999999,,,,,-119.8000088E-3,819.999992847E-3,,,,,-119.8000088E-3,839.999973774E-3,
,,,-119.6000129E-3,1.5999999,,,,,-119.6000129E-3,819.999992847E-3,,,,,-119.6000129E-3,859.999954700E-3,
,,,-119.4000095E-3,1.5799999,,,,,-119.4000095E-3,819.999992847E-3,,,,,-119.4000095E-3,839.999973774E-3,
,,,-119.2000136E-3,1.5999999,,,,,-119.2000136E-3,819.999992847E-3,,,,,-119.2000136E-3,839.999973774E-3,
,,,-119.0000102E-3,1.5799999,,,,,-119.0000102E-3,839.999973774E-3,,,,,-119.0000102E-3,839.999973774E-3,
,,,-118.8000068E-3,1.5799999,,,,,-118.8000068E-3,799.999952316E-3,,,,,-118.8000068E-3,839.999973774E-3,
,,,-118.6000109E-3,1.5999999,,,,,-118.6000109E-3,839.999973774E-3,,,,,-118.6000109E-3,839.999973774E-3,
,,,-118.4000075E-3,1.5799999,,,,,-118.4000075E-3,799.999952316E-3,,,,,-118.4000075E-3,839.999973774E-3,
,,,-118.2000116E-3,1.5799999,,,,,-118.2000116E-3,819.999992847E-3,,,,,-118.2000116E-3,839.999973774E-3,
,,,-118.0000082E-3,1.5799999,,,,,-118.0000082E-3,799.999952316E-3,,,,,-118.0000082E-3,859.999954700E-3,
,,,-117.8000122E-3,1.5999999,,,,,-117.8000122E-3,819.999992847E-3,,,,,-117.8000122E-3,859.999954700E-3,
,,,-117.6000088E-3,1.5999999,,,,,-117.6000088E-3,819.999992847E-3,,,,,-117.6000088E-3,859.999954700E-3,
,,,-117.4000129E-3,1.5999999,,,,,-117.4000129E-3,839.999973774E-3,,,,,-117.4000129E-3,859.999954700E-3,
,,,-117.2000095E-3,1.5799999,,,,,-117.2000095E-3,819.999992847E-3,,,,,-117.2000095E-3,839.999973774E-3,
,,,-117.0000136E-3,1.5799999,,,,,-117.0000136E-3,819.999992847E-3,,,,,-117.0000136E-3,839.999973774E-3,
,,,-116.8000102E-3,1.5799999,,,,,-116.8000102E-3,819.999992847E-3,,,,,-116.8000102E-3,839.999973774E-3,
,,,-116.6000068E-3,1.5799999,,,,,-116.6000068E-3,819.999992847E-3,,,,,-116.6000068E-3,839.999973774E-3,
,,,-116.4000109E-3,1.5799999,,,,,-116.4000109E-3,819.999992847E-3,,,,,-116.4000109E-3,839.999973774E-3,
,,,-116.2000075E-3,1.5799999,,,,,-116.2000075E-3,859.999954700E-3,,,,,-116.2000075E-3,839.999973774E-3,
,,,-116.0000116E-3,1.5799999,,,,,-116.0000116E-3,839.999973774E-3,,,,,-116.0000116E-3,839.999973774E-3,
,,,-115.8000082E-3,1.5799999,,,,,-115.8000082E-3,839.999973774E-3,,,,,-115.8000082E-3,859.999954700E-3,
,,,-115.6000122E-3,1.5999999,,,,,-115.6000122E-3,819.999992847E-3,,,,,-115.6000122E-3,839.999973774E-3,
